Source,Query,Model,Strategy,Latency,METEOR,ROUGE,EM,F1,BERTScore,Relevance,Helpfulness
LegalBench,Can minors enter into binding contracts?,gpt-4o,react,5.85,0.25,0.62,0.0,0.11,0.84,5,5
LegalBench,Can minors enter into binding contracts?,claude-3-opus-20240229,tree_of_thought,13.17,0.27,0.69,0.0,0.12,0.83,5,5
LegalBench,Can minors enter into binding contracts?,claude-3-opus-20240229,few_shot,4.59,0.33,0.62,0.0,0.21,0.87,4,3
LegalBench,Can minors enter into binding contracts?,claude-3-opus-20240229,react,10.4,0.3,0.69,0.0,0.14,0.85,3,5
LegalBench,Can minors enter into binding contracts?,tiny-llama,tree_of_thought,4.89,0.13,0.15,0.0,0.06,0.84,4,4
LegalBench,Can minors enter into binding contracts?,tiny-llama,few_shot,4.94,0.15,0.23,0.0,0.12,0.83,3,4
LegalBench,Can minors enter into binding contracts?,tiny-llama,react,4.97,0.29,0.38,0.0,0.16,0.84,4,3
LegalBench,Can minors enter into binding contracts?,gemma,tree_of_thought,7.82,0.15,0.23,0.0,0.1,0.84,4,4
LegalBench,Can minors enter into binding contracts?,gemma,few_shot,8.1,0.12,0.15,0.0,0.07,0.83,3,5
LegalBench,Can minors enter into binding contracts?,gemma,react,7.99,0.18,0.23,0.0,0.15,0.83,5,5
LegalBench,Can minors enter into binding contracts?,phi-2,tree_of_thought,8.57,0.17,0.31,0.0,0.15,0.83,4,3
LegalBench,Can minors enter into binding contracts?,phi-2,few_shot,8.52,0.13,0.15,0.0,0.06,0.84,3,3
LegalBench,Can minors enter into binding contracts?,phi-2,react,7.83,0.11,0.08,0.0,0.06,0.82,3,4
LegalBench,What is consideration in a contract?,gpt-4o,tree_of_thought,9.23,0.13,0.75,0.0,0.1,0.82,3,5
LegalBench,What is consideration in a contract?,gpt-4o,few_shot,3.6,0.42,0.75,0.0,0.27,0.87,5,3
LegalBench,What is consideration in a contract?,gpt-4o,react,1.53,0.44,0.75,0.0,0.25,0.88,4,5
LegalBench,What is consideration in a contract?,claude-3-opus-20240229,tree_of_thought,11.98,0.25,0.83,0.0,0.14,0.83,5,4
LegalBench,What is consideration in a contract?,claude-3-opus-20240229,few_shot,8.99,0.22,0.83,0.0,0.17,0.84,4,4
LegalBench,What is consideration in a contract?,claude-3-opus-20240229,react,11.28,0.16,0.75,0.0,0.15,0.83,3,3
LegalBench,What is consideration in a contract?,tiny-llama,tree_of_thought,6.46,0.24,0.67,0.0,0.3,0.84,4,5
LegalBench,What is consideration in a contract?,tiny-llama,few_shot,5.07,0.28,0.67,0.0,0.28,0.83,5,3
LegalBench,What is consideration in a contract?,tiny-llama,react,4.9,0.27,0.58,0.0,0.25,0.83,5,5
LegalBench,What is consideration in a contract?,gemma,tree_of_thought,8.03,0.28,0.33,0.0,0.29,0.83,5,5
LegalBench,What is consideration in a contract?,gemma,few_shot,8.28,0.23,0.5,0.0,0.21,0.84,4,5
LegalBench,What is consideration in a contract?,gemma,react,7.46,0.23,0.33,0.0,0.22,0.82,5,3
LegalBench,What is consideration in a contract?,phi-2,tree_of_thought,8.16,0.37,0.75,0.0,0.32,0.85,4,4
LegalBench,What is consideration in a contract?,phi-2,few_shot,7.55,0.38,0.75,0.0,0.27,0.85,3,4
LegalBench,What is consideration in a contract?,phi-2,react,7.71,0.24,0.67,0.0,0.24,0.84,4,4
